Price,Location,Number of Rooms,Area,Floor
103000,Əhmədli m.,2 otaqlı,42 m²,8/9 mərtəbə
484738,Nardaran q.,2 otaqlı,6 m²,5/7 mərtəbə
96000,Hövsan q.,N/A,N/A,N/A
439000,8 Noyabr m.,3 otaqlı,145 m²,10/27 mərtəbə
229000,Binəqədi r.,N/A,N/A,N/A
530000,Novxanı q.,N/A,N/A,N/A
259500,Nizami m.,3 otaqlı,115 m²,6/14 mərtəbə
150000,Həzi Aslanov q.,2 otaqlı,51 m²,14/18 mərtəbə
228000,Şah İsmayıl Xətai m.,3 otaqlı,82 m²,14/20 mərtəbə
219999,Xutor q.,3 otaqlı,135 m²,7/16 mərtəbə
52000,Binə q.,N/A,N/A,N/A
47000,Binə q.,N/A,N/A,N/A
98000,Binə q.,N/A,N/A,N/A
32000,Binə q.,N/A,N/A,N/A
275000,Qara Qarayev m.,3 otaqlı,120 m²,13/17 mərtəbə
70000,Binə q.,N/A,N/A,N/A
62000,Binə q.,N/A,N/A,N/A
93000,Binə q.,N/A,N/A,N/A
293000,Həzi Aslanov m.,3 otaqlı,130 m²,6/17 mərtəbə
420000,Xırdalan,N/A,N/A,N/A
490000,Mərdəkan q.,N/A,N/A,N/A
900000,Memar Əcəmi m.,N/A,N/A,N/A
460000,Xalqlar Dostluğu m.,N/A,N/A,N/A
105000,Qaraçuxur q.,4 otaqlı,47 m²,9/9 mərtəbə
595000,Nəsimi r.,4 otaqlı,179 m²,20/24 mərtəbə
845000,Səbail r.,4 otaqlı,220 m²,8/18 mərtəbə
125000,Qala q.,N/A,N/A,N/A
95000,Şah İsmayıl Xətai m.,2 otaqlı,35 m²,16/16 mərtəbə
385000,Nardaran q.,3 otaqlı,110 m²,3/4 mərtəbə
1800000,Nəriman Nərimanov m.,N/A,N/A,N/A
223000,Qara Qarayev m.,3 otaqlı,90 m²,12/13 mərtəbə
200000,Mərdəkan q.,N/A,N/A,N/A
135000,Yeni Günəşli q.,N/A,N/A,N/A
167000,Xırdalan,N/A,N/A,N/A
1000000,Gənclik m.,N/A,N/A,N/A
300000,Şah İsmayıl Xətai m.,3 otaqlı,120 m²,6/15 mərtəbə
185000,Şah İsmayıl Xətai m.,2 otaqlı,65 m²,10/16 mərtəbə
470000,28 May m.,4 otaqlı,190 m²,11/19 mərtəbə
245000,Şah İsmayıl Xətai m.,3 otaqlı,95 m²,8/16 mərtəbə
80000,Binəqədi q.,2 otaqlı,52 m²,10/16 mərtəbə
138000,Nəsimi r.,2 otaqlı,45 m²,7/16 mərtəbə
52000,Sumqayıt,N/A,N/A,N/A
154000,Həzi Aslanov m.,2 otaqlı,89 m²,15/18 mərtəbə
279000,Binəqədi r.,3 otaqlı,132 m²,8/19 mərtəbə
530000,Koroğlu m.,N/A,N/A,N/A
2200000,20 Yanvar m.,N/A,N/A,N/A
1750000,Azadlıq Prospekti m.,N/A,N/A,N/A
278000,Xətai r.,3 otaqlı,95 m²,11/20 mərtəbə
255000,Mərdəkan q.,N/A,N/A,N/A
260000,Gənclik m.,3 otaqlı,100 m²,19/19 mərtəbə
1100000,Nizami m.,N/A,N/A,N/A
870000,Xəzər r.,N/A,N/A,N/A
960000,Mərdəkan q.,N/A,N/A,N/A
230000,Nəsimi r.,3 otaqlı,110 m²,3/4 mərtəbə
420000,Mərdəkan q.,N/A,N/A,N/A
300000,Nəriman Nərimanov m.,3 otaqlı,130 m²,14/20 mərtəbə
100000,M.Ə.Rəsulzadə q.,N/A,N/A,N/A
130000,Hövsan q.,N/A,N/A,N/A
77140,Zığ q.,2 otaqlı,2 m²,13/14 mərtəbə
698000,Ağ şəhər q.,4 otaqlı,190 m²,13/20 mərtəbə
175000,Nəsimi r.,2 otaqlı,65 m²,16/18 mərtəbə
200000,Gənclik m.,2 otaqlı,68 m²,7/16 mərtəbə
110000,Saray q.,N/A,N/A,N/A
350000,Qara Qarayev m.,N/A,N/A,N/A
221000,Elmlər Akademiyası m.,3 otaqlı,101 m²,2/5 mərtəbə
